STRMENU01	Stiskni ENTER
STRMENU02	Nastavení
STRMENU03	Konec
STRMENU04	OK
STRMENU05	Storno
STRMENU06	Volná jízda
STRMENU07	Nová hra
STRMENU08	Nahrát
STRTIT001	Programátor
STRTIT002	Game design
STRTIT003	Hudba
STRTIT004	Zvuky
STRSTO001	Vypada to tady nejak divne...
STRSTO002	Vitejte Joe, jdete na cas.
STRSTO003	Ehm, ano...
STRSTO004	Ja jsem profesor Mitkins...
STRSTO005	...pojdte za mnou.
STRSTO006	Tak co na nej rikate?
STRSTO007	Vypada skvele!
STRSTO008	Vyborne, jsem rad ze se vam libi.
STRSTO009	Jak jsem naznacil pri nasem...
STRSTO010	...telefonickem rozhovoru, bude...
STRSTO011	...vase hlavni napln prace pro...
STRSTO012	...nas ustav, testovani tohoto...
STRSTO013	...vznasedla. Splnujete tedy...
STRSTO014	...vsechny podminky, ktere byly...
STRSTO015	...napsany v inzeratu?
STRSTO016	Samozrejme - mam chut k praci i...
STRSTO017	...k uceni se novym vecem a...
STRSTO018	...nemam zadnou rodinu.
STRSTO019	Skvele. Takze, nastoupit muzete...
STRSTO020	...rovnou. Sepiseme smlouvu a...
STRSTO021	...vrhneme se do prace.
STRGAME00	LEVEL 1
STRGAME01	z místa A do místa B
